contact_email,contact_phone,deadline,description,location,organization_id,organization_name,program_name,program_type,scraped_at,source_url,start_date,target_audience,website_link
info@webusinesscentre.com,,2025-11-12,,,330,Small Business & Entrepreneurship Centre,Tourism Windsor Essex Pelee Island Launches The 7th Annual Holiday Gift Guide,workshop,2025-11-12T16:05:52.985155,https://www.webusinesscentre.com/,,,https://www.webusinesscentre.com/tourism-windsor-essex-pelee-island-launches-the-7th-annual-holiday-gift-guide/
info@webusinesscentre.com,,2025-09-12,,,330,Small Business & Entrepreneurship Centre,Ontario Boosting Training for Entrepreneurs,workshop,2025-11-12T16:05:52.987494,https://www.webusinesscentre.com/,,,https://www.webusinesscentre.com/ontario-boosting-training-for-entrepreneurs/
info@webusinesscentre.com,,2025-08-12,,,330,Small Business & Entrepreneurship Centre,Ontario Investing $2 Million to Help Young Entrepreneurs Start and Grow Businesses,workshop,2025-11-12T16:05:52.988768,https://www.webusinesscentre.com/,,,https://www.webusinesscentre.com/ontario-investing-2-million-to-help-young-entrepreneurs-start-and-grow-businesses/
kdhillon@stclaircollege.ca,,,- Dr. Dhillon (Director Research and Innovation),,331,St. Clair College Centre for Applied Research and Innovation (CARI),Home,workshop,2025-11-12T16:05:54.353009,https://www.stclairresearch.ca/,,,https://dev-st-clair-research-and-innovation.pantheonsite.io/team-member/dr-karamjeet-dhillon/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,Plan “Bee” Pivots | How Tech Connect: Haunted Piston Edition Became a Masterclass in Agility,workshop,2025-11-12T16:06:27.347867,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/blog/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,Hult Prize Launches at UWindsor with New Campus Director Appointment,workshop,2025-11-12T16:06:27.349341,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/opportunity-alerts/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,Women of WIFF: When Entrepreneurship Takes Centre Stage,workshop,2025-11-12T16:06:27.350697,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/blog/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,"Crossing Borders, Building Futures: Reflections from the Downtown Detroit Partnership Fall Forum",workshop,2025-11-12T16:06:27.352050,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/blog/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,Windsor-Essex DevFest 2025 to Unite the Region’s Tech Community,workshop,2025-11-12T16:06:27.353428,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/tech-news/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,"Downtown Detroit Partnership Hosts Fall Forum: Special Edition, featuring binational leaders across Detroit and Windsor, Oct. 15",workshop,2025-11-12T16:06:27.354773,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/innovation-news/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,"WEtech Alliance provides 12 companies with up to $240,000 through Cohort 4 of Government of Canada-funded i.d.e.a. Fund™",workshop,2025-11-12T16:06:27.356057,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/client-news/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,Powering Sustainable Innovation: Handy Bros’ Journey with WEtech and the i.d.e.a. Fund™,workshop,2025-11-12T16:06:27.357370,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/client-news/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,Annual Impact Report: April 2024 – March 2025,workshop,2025-11-12T16:06:27.358786,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/impact/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,A New Chapter of Growth and Innovation,workshop,2025-11-12T16:06:27.360124,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/client-news/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,Welcoming New Leaders to WEtech Alliance’s Board for 2025–2026,workshop,2025-11-12T16:06:27.361386,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/tech-news/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,"Scaling Up, Together",workshop,2025-11-12T16:06:27.362611,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/blog/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,BIZconneCKt | November Networking event,networking,2025-11-12T16:06:27.363857,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/event/bizconneckt-november-networking-event/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,Leamington Business After Hours with Frank Abbruzzese,workshop,2025-11-12T16:06:27.364470,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/event/leamington-business-after-hours-with-frank-abbruzzese/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,Unlock Growth & Productivity for Manufacturers,workshop,2025-11-12T16:06:27.365071,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/event/unlock-growth-productivity-for-manufacturers/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,Inclusive by Design Virtual Workshop,workshop,2025-11-12T16:06:27.365682,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/event/inclusive-by-design-virtual-workshop/
ypilon@wetech-alliance.com,,,,,333,WEtech Alliance,Building AI Capacity: Overcoming Barriers to Address SME Skills Shortages,workshop,2025-11-12T16:06:27.366305,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/event/building-ai-capacity-overcoming-barriers-to-address-sme-skills-shortages-2/
mdumouchel@windsoressexchamber.org,,2025-10-12,,,334,Windsor-Essex Regional Chamber of Commerce,The Windsor Essex Chamber of Commerce Welcomes Plantscape Windsor as New Affinity Partner,workshop,2025-11-12T16:06:32.302292,https://wechamber.org/,,,https://www.windsoressexchamber.org/new-affinity-partner-plantscape/
mdumouchel@windsoressexchamber.org,,2025-07-12,,,334,Windsor-Essex Regional Chamber of Commerce,The Windsor Essex Chamber of Commerce Welcomes Avis as New Affinity Partner,workshop,2025-11-12T16:06:32.302753,https://wechamber.org/,,,https://www.windsoressexchamber.org/avis-affinity-partner/
mdumouchel@windsoressexchamber.org,,2025-05-12,,,334,Windsor-Essex Regional Chamber of Commerce,2025 Business Excellence Awards – Award Recipients,workshop,2025-11-12T16:06:32.303162,https://wechamber.org/,,,https://www.windsoressexchamber.org/2025-business-excellence-awards-award-recipients/
info@hackf.org,,,"info@hackf.org888-960-7641 ext. 4300 Ouellette Ave, Unit 210",,335,Hackforge,Contact,workshop,2025-11-12T16:06:34.335666,https://www.hackf.org/,,,mailto:info@hackf.org
info@hackf.org,,,,,335,Hackforge,What I Learned Building My Own AI Agent: An Evening with Doug Sartori,workshop,2025-11-12T16:06:34.343863,https://www.hackf.org/,,,https://www.hackf.org/event/building-my-own-ai-agent/
info@automatecanada.ca,,,,,337,Automate Canada,Don't miss our industry updates!,workshop,2025-11-12T16:06:39.896429,https://www.automatecanada.com/,,,https://www.automatecanada.ca/automate-canada-magazine/
info@weangelnetwork.com,,,"Windsor Essex Capital Angel Network (WECAN) investor members seek to invest in companies in which they can take an active interest through mentorship, financial investment and as potential business advisory board members or potential board of director members.",,343,Windsor Essex Capital Angel Network (WECAN),Become An Angel,mentorship,2025-11-12T16:08:37.556931,https://weangelnetwork.com/,,,https://weangelnetwork.com/become-an-angel
,,,"BDC Capital exists to help turn great ideas into great companies. And great companies into engines of jobs, growth and wealth creation.",,350,BDC Capital,Capital,funding,2025-11-12T16:08:39.107662,https://www.bdc.ca/en/bdc-capital,,,https://www.bdc.ca/en/bdc-capital/venture-capital
